,prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
8147,41190,7-12,149,Emily Jones & the Eagle Getaway,blah,blahblah,Elves,LU,18.2878,2.0,5.0,Easy,5.0,5.0
8148,41188,8-12,695,Breakout from the Goblin King's Fortress,blah,blahblah,Elves,LU,97.5878,1.0,,nan,5.0,
8149,41187,8-12,460,Rosalyn's Healing Hideout,blah,blahblah,Elves,LU,60.9878,6.0,4.5,Average,4.3,4.2
8150,41183,8-12,339,The Goblin King's Evil Dragon,blah,blahblah,Elves,LU,42.6878,8.0,4.3,Average,4.3,4.4
8151,41186,7-12,145,Azari & the Goblin Forest Escape,blah,blahblah,Elves,LU,24.3878,2.0,5.0,Average,5.0,3.5
8152,41318,7-12,871,Heartlake Hospital,blah,blahblah,Friends,LU,121.9878,4.0,5.0,Average,4.8,4.0
8153,41130,8-12,1124,Amusement Park Roller Coaster,blah,blahblah,Friends,LU,121.9878,17.0,4.8,Average,4.8,4.5
8154,41314,6-12,622,Stephanie's House,blah,blahblah,Friends,LU,91.4878,8.0,4.6,Average,4.1,3.3
8155,41317,7-12,603,Sunshine Catamaran,blah,blahblah,Friends,LU,91.4878,2.0,5.0,Challenging,4.5,5.0
8156,41340,6-12,722,Friendship House,blah,blahblah,Friends,LU,91.4878,7.0,4.6,Average,4.1,4.0
8157,41126,6-12,575,Heartlake Riding Club,blah,blahblah,Friends,LU,85.3878,5.0,5.0,Average,5.0,5.0
8158,41339,7-12,488,Mia's Camper Van,blah,blahblah,Friends,LU,73.1878,,,nan,,
8159,41324,8-12,585,Snow Resort Ski Lift,blah,blahblah,Friends,LU,73.1878,3.0,3.3,Average,3.7,3.7
8160,41313,6-12,589,Heartlake Summer Pool,blah,blahblah,Friends,LU,60.9878,6.0,4.8,Easy,4.5,4.0
8161,41323,7-12,402,Snow Resort Chalet,blah,blahblah,Friends,LU,54.8878,4.0,5.0,Average,5.0,4.5
8162,41320,6-12,370,Heartlake Frozen Yogurt Shop,blah,blahblah,Friends,LU,54.8878,,,nan,,
8163,41325,6-12,326,Heartlake City Playground,blah,blahblah,Friends,LU,54.8878,3.0,4.0,Challenging,3.7,3.0
8164,41338,6-12,460,Stephanie's Sports Arena,blah,blahblah,Friends,LU,48.7878,1.0,4.0,Average,4.0,1.0
8165,41335,6-12,351,Mia's Tree House,blah,blahblah,Friends,LU,42.6878,2.0,5.0,Challenging,5.0,5.0
8166,41336,6-12,378,Emma's Art Café,blah,blahblah,Friends,LU,36.5878,3.0,4.7,Average,2.7,3.3
8167,41334,6-12,229,Andrea's Park Performance,blah,blahblah,Friends,LU,36.5878,1.0,5.0,Average,5.0,5.0
8168,41322,6-12,307,Snow Resort Ice Rink,blah,blahblah,Friends,LU,36.5878,2.0,5.0,Average,4.5,4.5
8169,41316,6-12,309,Andrea's Speedboat Transporter,blah,blahblah,Friends,LU,36.5878,1.0,5.0,Easy,5.0,5.0
8170,41311,6-12,289,Heartlake Pizzeria,blah,blahblah,Friends,LU,36.5878,7.0,3.8,Easy,4.1,3.7
8171,41319,6-12,246,Snow Resort Hot Chocolate Van,blah,blahblah,Friends,LU,30.4878,3.0,5.0,Easy,4.0,4.0
8172,41333,6-12,223,Olivia's Mission Vehicle,blah,blahblah,Friends,LU,24.3878,1.0,5.0,nan,5.0,5.0
8173,41332,6-12,210,Emma's Art Stand,blah,blahblah,Friends,LU,24.3878,,,nan,,
8174,10749,4-7,115,Mia's Organic Food Market,blah,blahblah,Juniors,LU,24.3878,,,nan,,
8175,41315,6-12,186,Heartlake Surf Shop,blah,blahblah,Friends,LU,24.3878,4.0,5.0,Easy,4.5,4.8
8176,41329,6-12,163,Olivia's Deluxe Bedroom,blah,blahblah,Friends,LU,18.2878,1.0,5.0,Easy,4.0,2.0
8177,41330,6-12,119,Stephanie's Soccer Practice,blah,blahblah,Friends,LU,18.2878,,,nan,,
8178,40171,6+,249,LEGO® Friends Buildable Hedgehog Storage,blah,blahblah,Friends,LU,15.8478,2.0,5.0,Average,5.0,5.0
8179,10748,4-7,67,Emma's Pet Party,blah,blahblah,Juniors,LU,12.1878,2.0,5.0,Very Easy,5.0,4.0
8180,41328,6-12,95,Stephanie's Bedroom,blah,blahblah,Friends,LU,12.1878,2.0,4.5,Easy,5.0,5.0
8181,41327,6-12,86,Mia's Bedroom,blah,blahblah,Friends,LU,12.1878,3.0,2.3,Average,3.0,2.7
8182,75827,16+,4634,Firehouse Headquarters,blah,blahblah,Ghostbusters™,LU,487.9878,130.0,4.7,Challenging,4.8,4.7
8183,21313,12+,962,Ship in a Bottle,blah,blahblah,Ideas,LU,91.4878,83.0,3.7,Average,4.5,4.2
8184,21310,12+,2049,Old Fishing Store,blah,blahblah,Ideas,LU,195.1878,79.0,4.8,Average,5.0,4.7
8185,21309,14+,1969,LEGO® NASA Apollo Saturn V,blah,blahblah,Ideas,LU,158.58780000000004,367.0,4.6,Challenging,4.9,4.9
8186,21308,9+,496,Adventure Time™,blah,blahblah,Ideas,LU,67.0878,23.0,3.6,Easy,3.3,2.7
8187,21312,10+,231,Women of NASA,blah,blahblah,Ideas,LU,32.9278,33.0,4.4,Easy,4.6,4.5
8188,21314,10+,230,TRON: Legacy,blah,blahblah,Ideas,LU,48.7878,30.0,4.1,Easy,4.4,3.7
8189,10758,4-7,150,T. rex Breakout,blah,blahblah,Juniors,LU,67.0878,,,nan,,
8190,10757,4-7,85,Raptor Rescue Truck,blah,blahblah,Juniors,LU,36.5878,,,nan,,
8191,10760,4-7,149,Underminer Bank Heist,blah,blahblah,Juniors,LU,36.5878,,,nan,,
8192,10756,4-7,84,Pteranodon Escape,blah,blahblah,Juniors,LU,30.4878,,,nan,,
8193,10759,4-7,95,Elastigirl's Rooftop Pursuit,blah,blahblah,Juniors,LU,30.4878,,,nan,,
8194,10745,5-8,266,Florida 500 Final Race,blah,blahblah,Juniors,LU,60.9878,1.0,5.0,Challenging,5.0,5.0
8195,10734,4-7,175,Demolition Site,blah,blahblah,Juniors,LU,36.5878,2.0,5.0,nan,5.0,4.0
8196,10754,4-7,125,Spider-Man vs. Scorpion Street Showdown,blah,blahblah,Juniors,LU,30.4878,1.0,5.0,nan,4.0,4.0
8197,10746,4-7,100,Mia's Farm Suitcase,blah,blahblah,Juniors,LU,24.3878,2.0,5.0,Easy,5.0,4.5
8198,10740,4-7,110,Fire Patrol Suitcase,blah,blahblah,Juniors,LU,24.3878,1.0,,Easy,4.0,
8199,10755,4-7,131,Zane's Ninja Boat Pursuit,blah,blahblah,Juniors,LU,24.3878,,,nan,,
8200,10739,4-7,108,Shark Attack,blah,blahblah,Juniors,LU,21.9478,2.0,4.5,Easy,4.5,4.0
8201,10737,4-7,63,Batman™ vs. Mr. Freeze™,blah,blahblah,Juniors,LU,18.2878,2.0,4.0,Easy,4.5,4.0
8202,10738,4-7,67,Snow White's Forest Cottage,blah,blahblah,Juniors,LU,18.2878,2.0,5.0,Average,5.0,5.0
8203,10761,4-7,178,The Great Home Escape,blah,blahblah,Juniors,LU,42.6878,,,nan,,
8204,75930,8-12,1019,Indoraptor Rampage at Lockwood Estate,blah,blahblah,Indoraptor Rampage at Lockwood Estate,LU,170.7878,2.0,5.0,Easy,5.0,4.0
