prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
75823,6-12,-0.27301959406490495,Bird Island Egg Heist,blah,blahblah,Angry Birds™,US,29.99,-0.4143334310019652,-0.6552785031612287,Average,-0.04568656278335346,-0.36501011467749017
75822,6-12,-0.4041538314453812,Piggy Plane Attack,blah,blahblah,Angry Birds™,US,19.99,-0.4143334310019652,-0.6552785031612287,Easy,0.9906509527738996,-0.36501011467749017
75821,6-12,-0.517242072856067,Piggy Car Escape,blah,blahblah,Angry Birds™,US,12.99,-0.17852573407350575,-0.1324729349844937,Easy,-0.46022156900625505,-0.20406333767991156
21030,12+,0.6352955364145405,United States Capitol Building,blah,blahblah,Architecture,US,99.99,0.1358845284977735,-1.3523525940635421,Average,0.16158094032809642,0.11783021631524704
21035,12+,0.2888124137945665,Solomon R. Guggenheim Museum®,blah,blahblah,Architecture,US,79.99,-0.09992316843068594,-2.0494266849658556,Challenging,0.16158094032809642,-0.20406333767991156
21039,12+,0.11196165329062155,Shanghai,blah,blahblah,Architecture,US,59.99,-0.28332915493059885,-1.1780840713379637,Average,0.7833834496624497,0.27877699331282707
21028,12+,0.11316471968860757,New York City,blah,blahblah,Architecture,US,59.99,0.5026965014975993,-1.1780840713379637,Average,-0.6674890721177049,-0.20406333767991156
21029,12+,0.33212280412206324,Buckingham Palace,blah,blahblah,Architecture,US,49.99,0.16208538371204675,0.041795587741085646,Average,0.36884844343954815,0.11783021631524704
21034,12+,-0.04323391204957507,London,blah,blahblah,Architecture,US,39.99,0.1358845284977735,-1.3523525940635421,Average,0.36884844343954815,-0.20406333767991156
21033,12+,-0.07210750560123956,Chicago,blah,blahblah,Architecture,US,39.99,-0.17852573407350575,-1.3523525940635421,Average,0.576115946550998,0.43972377031040566
21036,12+,-0.14188535668442873,Arc de Triomphe,blah,blahblah,Architecture,US,39.99,-0.09992316843068594,-0.48100998043565085,Average,-0.25295406589480335,-1.0087972226678066
21019,12+,-0.22008467255352007,The Eiffel Tower,blah,blahblah,Architecture,US,34.99,0.9219101849259717,-2.0494266849658556,Average,0.16158094032809642,0.27877699331282707
21032,12+,-0.17196201663407926,Sydney,blah,blahblah,Architecture,US,29.99,-0.28332915493059885,-0.3067414577100715,Easy,0.16158094032809642,-0.043116560682331544
17101,7-12,0.4127282527871266,BOOST Creative Toolbox,blah,blahblah,BOOST,US,159.99,1.1839187370687043,-1.0038155486123859,Average,-2.3256290970093105,-1.169743999665386
41597,10+,0.2455020234670698,Go Brick Me,blah,blahblah,BrickHeadz,US,29.99,-0.1261240236449592,0.5646011559178206,Average,0.576115946550998,0.9225641013031428
41614,10+,-0.32475144917830384,Owen & Blue,blah,blahblah,BrickHeadz,US,19.99,-0.44053428621623847,-2.397963730417013,Easy,0.9906509527738996,1.2444576552983015
41613,10+,-0.4137783626292693,Mr. Incredible & Frozone,blah,blahblah,BrickHeadz,US,19.99,-0.44053428621623847,1.0874067240945555,Very Easy,0.9906509527738996,1.2444576552983015
41609,10+,-0.42701209300711557,Chewbacca™,blah,blahblah,BrickHeadz,US,9.99,-0.44053428621623847,-4.140648957672797,Very Easy,-3.1546991094551124,-0.36501011467749017
